latitude,longitude,data,precipitacao_total_mm,temperatura_media_C,temperatura_max_C,temperatura_min_C,pressao_Pa,vento_u_10m,vento_v_10m
-32.75,-54.0,2025-06-16,0.00047683716,9.410248,16.426422,4.047516,100783.4,-0.061641693,-2.7402878
-32.75,-53.75,2025-06-16,0.0,9.746755,16.76236,4.2955627,101450.15,-0.28519312,-2.5506718
-32.75,-53.5,2025-06-16,0.0,10.14568,16.252594,5.1959534,101729.31,-0.46691513,-2.5147831
-32.75,-53.25,2025-06-16,0.011444092,11.459971,14.914703,8.542877,101849.35,-0.3638471,-2.7323532
-32.75,-53.0,2025-06-16,0.024795532,12.359222,14.30484,10.576813,101893.73,-0.16470973,-2.933403
-32.75,-52.75,2025-06-16,0.039577484,12.448497,14.521637,10.503082,101905.56,0.012454987,-2.9911015
-32.75,-52.5,2025-06-16,0.042915344,11.658783,16.089264,7.3299866,101872.85,0.045698803,-2.605685
-32.75,-52.25,2025-06-16,0.015258789,13.175303,15.559723,10.753082,101934.81,0.6444537,-3.3088913
-32.75,-52.0,2025-06-16,0.058174133,14.191498,16.243317,12.856598,101962.27,1.1804644,-3.5601528
-32.75,-51.75,2025-06-16,0.25081635,14.694183,16.475739,13.715973,101969.9,1.5647825,-3.3805873
-32.75,-51.5,2025-06-16,0.626564,14.974132,16.567535,14.001129,101985.15,1.7989134,-2.9898808
-32.75,-51.25,2025-06-16,0.24843216,15.175873,16.755035,14.32486,101988.31,1.9736773,-2.8005905
-32.75,-51.0,2025-06-16,0.1320839,15.344005,16.946442,14.516266,101991.1,2.2121212,-2.5337448
-32.75,-50.75,2025-06-16,0.0743866,15.628591,17.356598,14.865875,101995.02,2.4976032,-2.334282
-32.75,-50.5,2025-06-16,0.051021576,16.029144,17.928864,15.372467,101998.52,2.8114865,-2.1972783
-32.75,-50.25,2025-06-16,0.08916855,16.42872,18.329254,15.834625,101995.81,3.1005898,-2.0051396
-32.75,-50.0,2025-06-16,0.104904175,16.779633,18.553864,16.30484,102009.94,3.4505246,-1.8779424
-32.75,-49.75,2025-06-16,0.11444092,17.061127,18.616364,16.608063,101999.73,3.7512653,-1.6303431
-32.75,-49.5,2025-06-16,0.13446808,17.319998,18.635895,16.819,102002.73,4.067061,-1.3529993
-32.75,-49.25,2025-06-16,0.1783371,17.568289,18.674957,17.054352,102033.52,4.4364867,-1.0953497
-32.75,-49.0,2025-06-16,0.2412796,17.712738,18.567535,17.154694,101994.85,4.7440224,-0.76071423
-32.5,-58.0,2025-06-16,2.902031,11.212657,16.97525,7.8163147,101030.94,-1.5012983,-3.502983
-32.5,-57.75,2025-06-16,4.38118,11.098317,17.086578,7.4772034,100832.77,-1.4713097,-3.441663
-32.5,-57.5,2025-06-16,5.7148933,10.98764,17.357574,7.205719,100640.9,-1.3990034,-3.4235153
-32.5,-57.25,2025-06-16,6.357193,10.876231,17.646637,6.9127502,100445.27,-1.3400841,-3.3699265
-32.5,-57.0,2025-06-16,7.1663857,10.776866,17.818512,6.6393127,100300.44,-1.3388634,-3.3798954
-32.5,-56.75,2025-06-16,6.7601204,10.676849,17.771637,6.4596252,100234.98,-1.3660036,-3.3435185
-32.5,-56.5,2025-06-16,6.811142,10.62558,17.339996,6.567047,100225.27,-1.4664675,-3.377739
-32.5,-56.25,2025-06-16,7.0643425,10.475759,16.9982,6.4405823,100232.65,-1.59102,-3.3793666
-32.5,-56.0,2025-06-16,6.1969757,10.36557,16.824371,6.3312073,100316.77,-1.6443647,-3.2532272
-32.5,-55.75,2025-06-16,4.9977303,10.259694,17.015778,5.9093323,100454.73,-1.5273806,-3.0448532
-32.5,-55.5,2025-06-16,3.8137436,10.204356,17.05484,5.686676,100532.65,-1.4529177,-2.9185104
-32.5,-55.25,2025-06-16,2.699852,9.983083,16.943512,5.2550354,100380.31,-1.360836,-2.885226
-32.5,-55.0,2025-06-16,1.4996529,9.714854,16.759918,4.6632385,100260.9,-1.2884077,-2.8154423
-32.5,-54.75,2025-06-16,0.25987625,9.36085,16.4982,3.8487854,100049.44,-1.0204633,-2.667127
-32.5,-54.5,2025-06-16,0.01335144,9.292003,16.431793,3.9076233,99990.48,-0.60501736,-2.617241
-32.5,-54.25,2025-06-16,0.0042915344,9.438487,16.521637,3.8678284,100135.23,-0.2976036,-2.6119106
-32.5,-54.0,2025-06-16,0.00047683716,9.753102,16.869781,4.174469,100626.9,-0.21508408,-2.5453823
-32.5,-53.75,2025-06-16,0.0,10.06129,17.059235,4.768219,100882.77,-0.19661076,-2.5662563
-32.5,-53.5,2025-06-16,0.0,9.847015,17.266266,4.252594,101324.48,-0.3511518,-2.3123906
-32.5,-53.25,2025-06-16,0.002861023,10.4843855,16.510406,5.8190002,101603.48,-0.42659125,-2.4172084
-32.5,-53.0,2025-06-16,0.00667572,11.489757,15.48111,8.10733,101834.23,-0.4407514,-2.66554
-32.5,-52.75,2025-06-16,0.017642975,12.352142,14.8815,9.936188,101907.81,-0.33080673,-2.8566208
